sample,feature_id,genome_id
FW_TWAS_rep_1,ASV_a1c39124f64ca1ee79a60e753ab4bcb083aacaf0,GCA_016710435.1
FW_TWAS_rep_1,ASV_4fc8e3e726bc7e1aa5f5dde6237ced96e1a48177,GCA_016711835.1
FW_TWAS_rep_1,ASV_fd680ce4a3e26b77c38dbe4bff95f3207564a1d9,GCA_041674545.1
FW_TWAS_rep_1,ASV_f0004e1e3b3b5a5095ee17a63111cb178a3e3c9b,GCF_012103215.1
FW_TWAS_rep_1,ASV_9410639e2f815d664ae167c9a37ff865e1365b8c,GCA_937869105.1
FW_TWAS_rep_1,ASV_dd1b3f59050030089da625bd388ad566c1233878,GCF_025821515.1
FW_TWAS_rep_1,ASV_6238116fde5f817d288bb8382052db34918de885,GCA_963695105.1
FW_TWAS_rep_1,ASV_c684dc426e44beca807b20c21f92831c598e3375,GCF_003115115.2
FW_TWAS_rep_1,ASV_a7d71ddc3bac4fccbf2d198e18c989b0eb87e724,GCA_016704885.1
FW_TWAS_rep_1,ASV_507e90e189c7f210f355a89973e299ed8c631a62,GCA_048499395.1
FW_TWAS_rep_1,ASV_10ddce4c8dd94d5e047159e739cf71883544f000,GCA_046347895.1
FW_TWAS_rep_1,ASV_fd4c2ffac8972ca4a918174d0f8281c25b3ca708,GCA_016705885.1
FW_TWAS_rep_1,ASV_cf4a2df85e9feb9aa90b46fc9d3bfbacb484da03,GCA_963779235.1
FW_TWAS_rep_1,ASV_87da0899c8c78b2c098c021386fe96c8123cf60d,GCA_016704085.1
FW_TWAS_rep_1,ASV_4726a74fab340b043fde835d068f06e8cfe6c4d7,GCF_026261605.1
FW_TWAS_rep_1,ASV_1df18e9ea56b27aa9282777dbf9a4764bea71352,GCA_037046705.1
FW_TWAS_rep_1,ASV_7ea01310d3af337028dbf62e83f4796c5c0a68b8,GCF_002165385.1
FW_TWAS_rep_1,ASV_6689d87879f9a0a2690c371451e02cb07f563980,GCA_046351595.1
FW_TWAS_rep_1,ASV_2b1a63a67e192b34f6b7e629ad563356cc920811,GCA_036510065.1
FW_TWAS_rep_1,ASV_d914ddbaf284e07e0204036992aecab27a3cbb6b,GCA_016714715.1
FW_TWAS_rep_1,ASV_3c366f4678dc8041a9a1aaaa05c191a30dddc6ac,GCA_021300375.1
FW_TWAS_rep_1,ASV_a8241d133ce54d07a7aa1c95c73f2a4302e99494,GCA_016706035.1
FW_TWAS_rep_1,ASV_f9d2ad0ad139413a930f1e5653779d8f0cdcca65,GCA_044238845.1
FW_TWAS_rep_1,ASV_f7f8f0d66f15447860b8758f78c82f15192cadc6,GCF_002978245.1
FW_TWAS_rep_1,ASV_e8670186245818f91c2d044c501ce80dd46ee96e,GCA_036569545.1
FW_TWAS_rep_1,ASV_92b9688ec26d77b9646923ff76f5d5000abdde9f,GCA_051953275.1
FW_TWAS_rep_1,ASV_ecf70fd3187c86a233f64f5c9dec5d1bb4acee36,GCA_046350755.1
FW_TWAS_rep_1,ASV_2ba925ddc020635fab04132eb39566742bcd260c,GCA_020890945.1
FW_TWAS_rep_1,ASV_ccb5e585a64a8020450afef314999aa1a8388bfb,GCA_016700375.1
FW_TWAS_rep_1,ASV_eef4e0e52962f746afe2e4aca624b4e8e4ebd2ba,GCA_027492415.1
FW_TWAS_rep_1,ASV_d30ff2432497d15fdc636379ff4ec61d5f1256e0,GCF_014645495.1
FW_TWAS_rep_1,ASV_bee4ed3a888695ec3e3d22ed7b28cefc03e63acf,GCF_001014975.1
FW_TWAS_rep_1,ASV_9896d378e9ff52e2c79ed602a22f5e49df0009e6,GCA_963736865.1
FW_TWAS_rep_1,ASV_4975be42e557d96f06fa11605e91f2075ca3a6db,GCA_046348585.1
FW_TWAS_rep_1,ASV_f8712f831edf2fd222cb4d4cae906fdcedb6ad20,GCA_034676565.1
FW_TWAS_rep_1,ASV_bcf6c4c79ef621008a4ffa4b3104eeb4210a0118,GCF_049943315.1
FW_TWAS_rep_1,ASV_53a46e84e63092f99551e72a13592f5424751b31,GCA_937898325.1
FW_TWAS_rep_1,ASV_ed596fe5b4c4f28c636679abe5e50f45d22b8a21,GCA_044223705.1
FW_TWAS_rep_1,ASV_3d555b727fdc12c8957ba60a6268b167d9a9b20b,GCA_024235995.1
FW_TWAS_rep_1,ASV_21e741955fe55b8bbb1271452b75a4ee1fa1f935,GCA_041396145.1
FW_TWAS_rep_1,ASV_b5259cf9333b28d9b4a9cf69802009032231f59c,GCA_016722305.1
FW_TWAS_rep_1,ASV_7a95ae548edefedac351c7d798aa2cc9d7a6f628,GCF_048977785.1
FW_TWAS_rep_1,ASV_b9a312ee1f72717d7bad8df20ef5069a9372b86f,GCA_964527785.1
FW_TWAS_rep_1,ASV_37f1308a17ad23293fd0e4a0ab74b8adaf6e58ad,GCA_963748985.1
FW_TWAS_rep_1,ASV_8832223543c7f45c953199ebebf47a0bdb519fb7,GCA_022843165.1
FW_TWAS_rep_1,ASV_766a7d1fc4c23ef5e7ddc7ebc5e200c40c49b4cd,GCF_051962735.1
FW_TWAS_rep_1,ASV_515e1ef7ddf9e303b5139961e91b3b1099512289,GCA_016703135.1
FW_TWAS_rep_1,ASV_fe28dd610548fd43f99f1778bb231a03a8af57dc,GCA_049290055.1
FW_TWAS_rep_1,ASV_163879953463f5dee90fb3687438e00c40010dc3,GCA_050597465.1
FW_TWAS_rep_1,ASV_41353b814c7d8d12beaeacfb9543f30bd1d7bfb6,GCA_044220615.1
FW_TWAS_rep_1,ASV_fb18c698a00f03323d87e68f4bad2e6abae99bd6,GCA_046329445.1
FW_TWAS_rep_1,ASV_1c41b9aab3de3971aef8a6aaeb04a98716f7b2b6,GCA_046330555.1
FW_TWAS_rep_1,ASV_0c3ee154eaeeca4470d23f30ddc06e43ea4a378e,GCA_024235115.1
FW_TWAS_rep_1,ASV_e165e94621ad4095c9ee6ef6dd62892b3979f99f,GCA_046329695.1
FW_TWAS_rep_1,ASV_287a5f619b49fbf5a7056487a47493113c69a8b7,GCA_035550135.1
FW_TWAS_rep_1,ASV_8088c699c411425440e40659fb02b9ef8eccb7c9,GCA_004168015.1
FW_TWAS_rep_1,ASV_3df6d89481a9488de8f36f2ff4f634e0c5262fd3,GCA_018242085.1
FW_TWAS_rep_1,ASV_f679ebb6e9c4d53999a91414d6dbad6b6a298818,GCA_034676565.1
FW_TWAS_rep_1,ASV_3c5783b680cabc83c92b3da53817f5943cd86e58,GCA_017999195.1
FW_TWAS_rep_1,ASV_6ea0e3a6d7d6c3695e2dc1cbcbc47ce5b8da21f7,GCF_030238425.1
FW_TWAS_rep_1,ASV_84b1e52ac1454dbc8c7af8337347131d012a24b7,GCA_016722075.1
FW_TWAS_rep_1,ASV_c66e04989ab20bc6bdbed79cbb2f9f2b68aef3c4,GCA_049291395.1
FW_TWAS_rep_1,ASV_9627f994d3f8162b004c61b4f43fee3ef122e05e,GCA_046351615.1
FW_TWAS_rep_1,ASV_5fe48eecbe80253ef4a4b36aca649a231b6c3c1a,GCA_037045515.1
FW_TWAS_rep_1,ASV_145777562bdc4d884d3ae7a4fa66ffcf4ab2fca1,GCF_051958235.1
FW_TWAS_rep_1,ASV_4fc0cd3add292d9baf388508ff26bb40bbe27f89,GCA_016191845.1
FW_TWAS_rep_1,ASV_b008c33eebc30fb76d2cf9f4c285476ee09d1aac,GCA_005518185.1
FW_TWAS_rep_1,ASV_0febb021dfeda7c132ce155bef928a71ccbc5fd3,GCA_016702655.1
FW_TWAS_rep_1,ASV_5ae122e0332de5e47e8be6f2365ac4afa53231c6,GCF_044224635.1
FW_TWAS_rep_1,ASV_5d3012d78ea0643cc7391edf6cffd9a1192ec40f,GCA_049643045.1
FW_TWAS_rep_1,ASV_803c3a18b8f1df157386f652a68dcad7d9c56933,GCA_041395645.1
FW_TWAS_rep_1,ASV_afc4167694d22e43ac663eb0f26bd7ce3f25d6e5,GCA_044223005.1
FW_TWAS_rep_1,ASV_a24bf99be84ef2a9b44a81f1e0e38fbee580ac55,GCA_044230255.1
FW_TWAS_rep_1,ASV_55847c1161fb37e9ef89b3920c656a88cd27abca,GCA_016707485.1
FW_TWAS_rep_1,ASV_4e71c8f1b9879f64728278347c30e3f887464717,GCA_046330105.1
FW_TWAS_rep_1,ASV_ec9ea72ec9ca693c1270876a5c151286d67ba7dd,GCA_037200505.1
FW_TWAS_rep_1,ASV_9e668dc359b5cc60b61dea06bf4d53ac967a3946,GCA_035434045.1
FW_TWAS_rep_1,ASV_f57d343105ff9cdb54f36f2de2df238c85b55824,GCA_044230475.1
FW_TWAS_rep_1,ASV_9df543068bf023fb2b7d98e5f5115a5b2ef4d07b,GCA_016717165.1
FW_TWAS_rep_1,ASV_f3dc7c1069913fa5864fe975fa8af5bd98f89099,GCA_046329365.1
FW_TWAS_rep_1,ASV_deffee29e5384a5a5eaf72970fa81fdc499eb8c4,GCA_016721425.1
FW_TWAS_rep_1,ASV_aee16cb78944de9c0169acb0acdea64329509b5e,GCF_051958015.1
FW_TWAS_rep_1,ASV_263ed93f6e48b493e92684311a084750e87a9746,GCA_963814475.1
FW_TWAS_rep_1,ASV_5a36c12715de798a4cbda85b4cdc224216386de0,GCA_046330835.1
FW_TWAS_rep_1,ASV_4d296f551ba667e2d12533b804d38c39f30bcec4,GCA_016713585.1
FW_TWAS_rep_1,ASV_fe976ba5b98462326bc1934fb98580d34ebfa3ff,GCA_044224235.1
FW_TWAS_rep_1,ASV_066b71e43003b303e3ecea8d980b7a2cd7bb07e5,GCA_040080065.1
FW_TWAS_rep_1,ASV_c890b4a363c22ce6aba6adab8546c51d768b41c3,GCA_035426845.1
FW_TWAS_rep_1,ASV_ee2eb447ce0a6bf61a723abbded9768bf0c61d72,GCF_046764005.1
FW_TWAS_rep_1,ASV_229cbe75af3dfc6518a9294400c2c83c8156be1e,GCA_046331345.1
FW_TWAS_rep_1,ASV_e6e40a0e8ea5e5da331c32763d7598946008fb4a,GCA_050287485.1
FW_TWAS_rep_1,ASV_03fda10b366a8b433f3e3eccefdc68f9278228b9,GCA_037044955.1
FW_TWAS_rep_1,ASV_e38ae874049d30630972883f9ea36f22cce2b14c,GCA_963784415.1
FW_TWAS_rep_1,ASV_6d658eb65e85a977556a3ff5d0067384e9b83a9d,GCA_016722635.1
FW_TWAS_rep_1,ASV_7f62c14e599ee1d06181ae4dbd834472e2c318f9,GCA_964404795.1
FW_TWAS_rep_1,ASV_101254eac0ff9a286568eb8d0f2d1e6502c9329a,GCA_030857175.1
FW_TWAS_rep_1,ASV_4445ed9337e56aa9cffb33a6943c0eaf205d80b9,GCA_049290295.1
FW_TWAS_rep_1,ASV_924eab0b540d526ec0e9699ed39706c3bd405c93,GCA_046351615.1
FW_TWAS_rep_1,ASV_344aebdef297033af095ed72177ff5b105d85680,GCF_004127515.1
FW_TWAS_rep_1,ASV_e714b995687239a3997116b87a9078ad1616a3ab,GCA_016704085.1
FW_TWAS_rep_1,ASV_d24bcc38c2126dbc0da3ba2bf8edc2536473f9c0,GCA_044229175.1
FW_TWAS_rep_1,ASV_3507349652070dab39b51e33ebd6effd9ef19624,GCA_023261595.1
FW_TWAS_rep_1,ASV_8f3fb3f37003141387237e917396ba80a63e6fb2,GCA_016714645.1
FW_TWAS_rep_1,ASV_1357580422f02ded6c4e4226c34dbca82d8bc901,GCA_037045785.1
FW_TWAS_rep_1,ASV_8f6a93e9cfed72146e1cd1e9e83950121b73a726,GCA_046330055.1
FW_TWAS_rep_1,ASV_2eb2c7eef290c9fae65aede58f36478fc935f022,GCF_016711745.1
FW_TWAS_rep_1,ASV_8c6f5963ceca6c93cc311f4ecf4cadf8d26549aa,GCF_040226955.1
FW_TWAS_rep_1,ASV_b328f9fe6302b013944a6d341105e24ef7bcb185,GCA_943370345.1
FW_TWAS_rep_1,ASV_2cd0d951898354c45aa5b875855c9d91c752a976,GCA_016702775.1
FW_TWAS_rep_1,ASV_0c1bed3dc121dcf9320660e4781909942f2812fa,GCF_024341885.1
FW_TWAS_rep_1,ASV_6eed6a30e0ff7a58dc0bb35b3181039ee0b64cf2,GCA_046329225.1
FW_TWAS_rep_1,ASV_8403221786f306c2496ad4cfa24b8515e767c449,GCA_016716985.1
FW_TWAS_rep_1,ASV_998ea9b13a4d7007fc13aadb4e5df3651fdc47c3,GCA_020160975.1
