sample,feature_id,genome_id
FW_AS_rep_1,ASV_58a3062059e17d2693a119303556211229311331,GCA_050949945.1
FW_AS_rep_1,ASV_6270178e2c7faa7f5380c7a6aa196ca261b26b44,GCA_002069655.1
FW_AS_rep_1,ASV_c54557012cdc9ab94703723a7aed54d5765dd9ae,GCA_023622505.1
FW_AS_rep_1,ASV_0c1bed3dc121dcf9320660e4781909942f2812fa,GCF_024341885.1
FW_AS_rep_1,ASV_7b77931d93909b63191205b288dd87998da176a1,GCA_017995635.1
FW_AS_rep_1,ASV_087b1733c6b79909dae0cbb7cc969c7b40235f6c,GCA_035419085.1
FW_AS_rep_1,ASV_259c88c95be2b846007ec060213889e737f8f9fe,GCA_035419245.1
FW_AS_rep_1,ASV_715db67c8cbc0b8c6ef7f8a486962a22f5de9f30,GCA_028683535.1
FW_AS_rep_1,ASV_d7b80fab5fbdd6192bb0747bc8a5b12cb04caff2,GCA_009877105.1
FW_AS_rep_1,ASV_cc4591ed50e0fe07a231f9604513917df6e2dd67,GCA_040766305.1
FW_AS_rep_1,ASV_2048679db1fe2367567fc4635edfea346c59397d,GCA_035417565.1
FW_AS_rep_1,ASV_414d3fa5b8f9ad9bc4a6d4a92e82a88bca6ee197,GCA_963709485.1
FW_AS_rep_1,ASV_253093fb492f6012d4fb04c3f88b1264d4b93c54,GCA_035434385.1
FW_AS_rep_1,ASV_ecf70fd3187c86a233f64f5c9dec5d1bb4acee36,GCA_046350755.1
FW_AS_rep_1,ASV_9d9058408285eea76ec9e63971fe1e39e91d267a,GCF_049943315.1
FW_AS_rep_1,ASV_8900fd028f22e0ffe58a2647369a13fa9ea9088d,GCA_035415525.1
FW_AS_rep_1,ASV_ba4ace83ab5b1e9111e02978e29d8d4d0d227006,GCA_018003655.1
FW_AS_rep_1,ASV_f5358b3daee754bdc7cbba6fc324290d530b38a8,GCA_035451445.1
FW_AS_rep_1,ASV_7bada2135788e2ebdb3524e2665b0564c32f2edd,GCA_000277855.1
FW_AS_rep_1,ASV_fe976ba5b98462326bc1934fb98580d34ebfa3ff,GCA_044224235.1
FW_AS_rep_1,ASV_b889c88eb42148d71b5e34d5317c2cb14270896d,GCA_035376025.1
FW_AS_rep_1,ASV_5e503acf0a4f80acee9133a74c47f1127ac46313,GCA_035376965.1
FW_AS_rep_1,ASV_87fe4fa92eab045ca82860aab1915ed4766ae4f8,GCA_035352255.1
FW_AS_rep_1,ASV_8d70d8edda19a0cbb403650ac96a7953fe5f2d70,GCA_033811395.1
FW_AS_rep_1,ASV_3b1d8d706bab96c6bcd5ff46aca96672e28c49a2,GCA_035374425.1
FW_AS_rep_1,ASV_2cd247ef9010743e0c6e8bcdf3b7b86775c74e39,GCA_029556475.1
FW_AS_rep_1,ASV_e6968b70b06c0a4b8848fda49515858fafad5be1,GCA_035395015.1
FW_AS_rep_1,ASV_7722136c350b6bf7810f8e849cfc5acd5ee62051,GCA_040772705.1
FW_AS_rep_1,ASV_250d3aef3fdac9cbfb64083cf8eafc0d7f7454aa,GCF_022012435.1
FW_AS_rep_1,ASV_ded5ae65f9e27c4712c34bdd0fade350d8f72021,GCA_035364295.1
FW_AS_rep_1,ASV_11539b8a9a4d43dcedf8368aa4044ff945ee01db,GCA_019454985.1
FW_AS_rep_1,ASV_1f380a8e1c8ff73bd605faa10777f43f246404bf,GCA_001896575.1
FW_AS_rep_1,ASV_b0960cd26cb653c40797fe9f533d8817e8141df1,GCA_013824685.1
FW_AS_rep_1,ASV_4df6221c8e45e3d80a2ad3c26b9fd9ae733755f5,GCA_937873755.1
FW_AS_rep_1,ASV_cf7afd1d82ce23c3f04cc48252bd9f1e5aab9f5c,GCA_022708005.1
FW_AS_rep_1,ASV_b5f2b13884ad3e1d41eb5ee0d767d9edde1a0af6,GCA_035417985.1
FW_AS_rep_1,ASV_c890b4a363c22ce6aba6adab8546c51d768b41c3,GCA_035426845.1
FW_AS_rep_1,ASV_d697e52ad2744602560297755934f30180af1754,GCA_963746195.1
FW_AS_rep_1,ASV_b9d9a561d3873a7606e0a0183cca5443e80f3a17,GCA_044224105.1
FW_AS_rep_1,ASV_dd1b3f59050030089da625bd388ad566c1233878,GCF_025821515.1
FW_AS_rep_1,ASV_25a8badf749895423314896ab6554e81686f0a27,GCA_022708655.1
FW_AS_rep_1,ASV_c94b69c195db163c1e93880ae3f7c6814cf4e78f,GCF_041464035.1
FW_AS_rep_1,ASV_29f633167aecbf3a204fef6336da3de784f497ec,GCA_024710025.1
FW_AS_rep_1,ASV_8e0dfdea7a62b3fbf75ba69f3331ad13693999ca,GCA_012797505.1
FW_AS_rep_1,ASV_99fa2e53f0f36f723e9c822e65b149eca071a9b6,GCA_044230255.1
FW_AS_rep_1,ASV_743663415a523913c4df4b38d7e3887cc326cfb7,GCA_937871025.1
FW_AS_rep_1,ASV_044c36a06f990e25e79a9c1c64ee33e5a0b13ef9,GCA_029565215.1
FW_AS_rep_1,ASV_895415c61a30b43265cf64569857ef2a3414ff23,GCA_036847565.1
FW_AS_rep_1,ASV_0e50deaeeef3b8e5c2436daf483240d3c1ae1893,GCA_035452445.1
FW_AS_rep_1,ASV_db1081206c716fd0dfeb959f8aa5d042a76220d0,GCA_050950365.1
FW_AS_rep_1,ASV_5441fc73209dbcdd9a37747652c850d8dd94ea16,GCA_937949995.1
FW_AS_rep_1,ASV_9280dc41df415b21b7b4e45b1bf573cc43dd609c,GCA_035415525.1
FW_AS_rep_1,ASV_fb4cee6bb46472ce766402b91fa2258ba003a4ec,GCA_018000955.1
FW_AS_rep_1,ASV_ac9ae1efa43a9310197716e2d98f9ae73693b24f,GCA_035374025.1
FW_AS_rep_1,ASV_afb8bc6efe4cc480897efdcad72482d3788baac4,GCF_041654235.1
FW_AS_rep_1,ASV_32a38074fce3fa9e3774452aef74db363faa52c0,GCA_029569365.1
FW_AS_rep_1,ASV_9fa80b984c20e7930495f0f00167e6b23f1d0bbd,GCF_024341885.1
FW_AS_rep_1,ASV_f58407e8ebaa7548723817128a38563a07add220,GCF_963887565.1
FW_AS_rep_1,ASV_7b15ea152ebc2bb16d33bda295751ce53dc1e7f4,GCA_018437055.1
FW_AS_rep_1,ASV_c1747f057229be2d9ff1e4f0d21ba00ec1f1a1c7,GCA_022837705.1
FW_AS_rep_1,ASV_02ef461c2925a1c43c8bc8d250977982a9e50300,GCF_042654745.1
FW_AS_rep_1,ASV_9e668dc359b5cc60b61dea06bf4d53ac967a3946,GCA_035434045.1
FW_AS_rep_1,ASV_880323daa69a2dea9072adcb420612ce28a5d1e9,GCA_017992995.1
FW_AS_rep_1,ASV_f4ff1540bb111a1712893036ace98b37d5436089,GCA_035376965.1
FW_AS_rep_1,ASV_cc4c1e00e16a8b78a8c84d6c4c3c3c0b48187d19,GCA_050952125.1
FW_AS_rep_1,ASV_c684dc426e44beca807b20c21f92831c598e3375,GCF_003115115.2
FW_AS_rep_1,ASV_a075bfa2bde7e9c333c1c7833b20fd51cc373b8c,GCA_035376845.1
FW_AS_rep_1,ASV_302091d84a195a40c8644661587b75ad0d293fa0,GCA_033811615.1
FW_AS_rep_1,ASV_e9e8d72e6cfca712b261486f8a030cff915b2bbe,GCA_035353335.1
FW_AS_rep_1,ASV_cdc257acffee66837c1f121b4b77f8046123a492,GCA_013824685.1
FW_AS_rep_1,ASV_2871e52d32c2c98f8d9d2e7b712454a63be1ec3c,GCA_963666755.2
FW_AS_rep_1,ASV_2e155ab307a1754d702d81e35191e6bfd5e7da56,GCA_035415525.1
FW_AS_rep_1,ASV_8d25d41d5b7eb5d00e19d67a4395cb8616712766,GCA_035419325.1
FW_AS_rep_1,ASV_79568553fcb1b3f57119b674deff164323423586,GCF_002978625.1
FW_AS_rep_1,ASV_dc07b27fd78bc2cc4a2d530f366d1c5371a1b1f7,GCA_035358495.1
FW_AS_rep_1,ASV_4dd00c7869484c54b98eba8729ce2acde1877c78,GCA_001604475.1
FW_AS_rep_1,ASV_b5259cf9333b28d9b4a9cf69802009032231f59c,GCA_016722305.1
FW_AS_rep_1,ASV_5693674871d0fd53ab726528df017427f96797fa,GCA_019636095.1
FW_AS_rep_1,ASV_a1b290bc6493a44d9c20093f3bed98cd03b6fc53,GCA_035410845.1
FW_AS_rep_1,ASV_3c621f36b9b4278d6214c86598dca39e83bb5dbb,GCA_033810375.1
FW_AS_rep_1,ASV_5419dc9843b8293834f70504c8826e8d1bddec20,GCA_035357655.1
FW_AS_rep_1,ASV_019d94273e9eb64a24a52c1b2b31ddea0ab8525c,GCA_040772985.1
FW_AS_rep_1,ASV_ea77acce6eea4e664bc2a4565e9406e92c461c89,GCA_937872315.1
FW_AS_rep_1,ASV_94cf6f5877f56e9004370dd4b44ffa26e88d107f,GCA_035365655.1
FW_AS_rep_1,ASV_7212f4c8486651c51d7c6ba5a3a56a3e486e83ee,GCA_035373905.1
